sales_month,product_category_name,total_revenue,monthly_rank
2017-03,moveis_escritorio,10793.85,14
2017-03,consoles_games,9834.04,15
2017-03,pet_shop,8240.06,16
2017-03,telefonia,7877.12,17
2017-03,,6457.17,18
2017-03,malas_acessorios,5924.01,19
2017-03,papelaria,5902.62,20
2017-03,fashion_bolsas_e_acessorios,4786.36,21
2017-03,climatizacao,4103.81,22
2017-03,eletronicos,3986.0,23
2017-03,bebes,3592.28,24
2017-03,moveis_sala,3324.0,25
2017-03,livros_interesse_geral,2533.96,26
2017-03,alimentos,2412.66,27
2017-03,casa_conforto,2123.4,28
2017-03,market_place,1808.59,29
2017-03,instrumentos_musicais,1667.33,30
2017-03,fashion_calcados,1515.0,31
2017-03,telefonia_fixa,1333.45,32
2017-03,audio,1134.77,33
2017-03,casa_construcao,591.96,34
2017-03,fashion_roupa_masculina,580.8,35
2017-03,eletrodomesticos_2,500.9,36
2017-03,tablets_impressao_imagem,495.0,37
2017-03,bebidas,463.87,38
2017-03,dvds_blu_ray,453.7,39
2017-03,fashion_underwear_e_moda_praia,394.14,40
2017-03,casa_conforto_2,342.88,41
2017-03,eletrodomesticos,313.3,42
2017-03,industria_comercio_e_negocios,238.0,43
2017-03,artes,174.6,44
2017-03,moveis_cozinha_area_de_servico_jantar_e_jardim,113.98,45
2017-03,alimentos_bebidas,85.8,46
2017-03,agro_industria_e_comercio,81.99,47
2017-03,livros_tecnicos,75.0,48
2017-03,sinalizacao_e_seguranca,75.0,48
2017-03,fashion_esporte,39.9,49
2017-03,construcao_ferramentas_construcao,38.9,50
2017-03,musica,27.99,51
2017-03,fashion_roupa_feminina,19.9,52
2017-04,cama_mesa_banho,24092.89,1
2017-04,relogios_presentes,23336.09,2
2017-04,eletroportateis,23114.98,3
2017-04,esporte_lazer,22997.06,4
2017-04,beleza_saude,22156.34,5
2017-04,cool_stuff,20902.39,6
2017-04,perfumaria,19436.51,7
2017-04,moveis_decoracao,19211.23,8
2017-04,informatica_acessorios,18353.46,9
2017-04,ferramentas_jardim,17648.93,10
2017-04,automotivo,15149.32,11
2017-04,brinquedos,13039.43,12
2017-04,utilidades_domesticas,12472.18,13
2017-04,moveis_escritorio,9411.3,14
2017-04,,8448.19,15
2017-04,telefonia,7133.94,16
2017-04,malas_acessorios,7090.3,17
2017-04,pet_shop,6182.89,18
2017-04,eletronicos,4822.24,19
2017-04,papelaria,4551.44,20
2017-04,market_place,4045.28,21
2017-04,bebes,3930.55,22
2017-04,instrumentos_musicais,3818.43,23
2017-04,consoles_games,3772.88,24
2017-04,fashion_bolsas_e_acessorios,3095.9,25
2017-04,climatizacao,2492.23,26
2017-04,casa_conforto,2411.1,27
2017-04,moveis_sala,2073.34,28
2017-04,casa_construcao,1602.69,29
2017-04,fashion_calcados,1526.5,30
2017-04,construcao_ferramentas_jardim,1490.21,31
2017-04,dvds_blu_ray,1434.9,32
2017-04,tablets_impressao_imagem,1112.88,33
2017-04,moveis_cozinha_area_de_servico_jantar_e_jardim,1033.4,34
2017-04,audio,942.2,35
2017-04,livros_interesse_geral,923.38,36
2017-04,eletrodomesticos_2,799.8,37
2017-04,construcao_ferramentas_ferramentas,729.0,38
2017-04,moveis_quarto,628.98,39
2017-04,telefonia_fixa,505.83,40
2017-04,eletrodomesticos,499.4,41
2017-04,alimentos,491.3,42
2017-04,fashion_roupa_masculina,366.89,43
